,cleaned_job_title
0,account executive
1,account manager
2,accountant
3,accounting
4,accounting manager
5,administrative assistant
6,analyst
7,android engineer
8,applications engineer
9,architect
10,art director
11,assistant
12,assistant director
13,assistant manager
14,associate
15,auditor
16,bookkeeper
17,build and release engineer
18,business analyst
19,business consultant
20,business development
21,business development manager
22,business intelligence analyst
23,business intelligence engineer
24,caregiver
25,cashier
26,consultant
27,controller
28,cook
29,creative director
30,data analyst
31,data architect
32,data engineer
33,data scientist
34,database administrator
35,design engineer
36,designer
37,devops engineer
38,director
39,director of operations
40,electrical engineer
41,engineer
42,field engineer
43,finance manager
44,financial analyst
45,front end engineer
46,general manager
47,graphic designer
48,human resources manager
49,human resources specialist
50,instructor
51,ios engineer
52,it consultant
53,it manager
54,it project manager
55,it specialist
56,j2ee engineer
57,java software engineer
58,linux administrator
59,manager
60,manufacturing engineer
61,marketing director
62,marketing manager
63,marketing specialist
64,mechanical design engineer
65,mechanical engineer
66,net engineer
67,network administrator
68,network engineer
69,operations manager
70,postdoctoral scholar
71,process engineer
72,product engineer
73,product manager
74,production manager
75,program coordinator
76,program director
77,program manager
78,programmer analyst
79,project coordinator
80,project engineer
81,project manager
82,quality assurance
83,quality assurance analyst
84,quality assurance engineer
85,quality assurance manager
86,quality assurance tester
87,research assistant
88,research associate
89,research scientist
90,sales engineer
91,sales manager
92,sales representative
93,salesforce administrator
94,salesforce engineer
95,scientist
96,software architect
97,software engineer
98,software quality engineer
99,software test engineer
100,solutions architect
101,staff accountant
102,systems administrator
103,systems analyst
104,systems engineer
105,teacher
106,technical consultant
107,technical project manager
108,technical recruiter
109,technical support engineer
110,technical writer
111,test engineer
112,ux designer
113,ux engineer
